id,term_or_phrase,variant_spelling,year_or_period,source_title,source_author,source_type,source_url,sense,confidence,short_summary,pre_1828_value,chart_01_usefulness,notes
etymonline_artificial_pre1828,artificial,artificial; Old French artificial; Latin artificialis,late 14c.; early 15c.; 16c.; 1590s; 1640s claimed,Etymonline,,etymology_source,https://www.etymonline.com/word/artificial,word_family_etymology,medium,"Gives artificial as late-14c. from Old French/Latin, earliest English phrase artificial day, made-by-human-skill sense from early 15c., imitation from 16c., insincere from 1590s, not-genuine from 1640s.",strong,supporting,Strong guide but exact dates need OED/primary confirmation.
mw_artificial_middle_english,artificial,Middle English artificial,15th century first known use,Merriam-Webster,,etymology_source,https://www.merriam-webster.com/dictionary/artificial,word_family_etymology,medium,Gives Middle English artificial and Latin artificialis/artificium chain from ars skill plus facere make/do.,strong,supporting,Good independent confirmation that the word predates 1828.
etymonline_artificially_pre1828,artificially,artificially,early 15c. claimed,Etymonline,,etymology_source,https://www.etymonline.com/word/artificially,art_skill_making,medium,"Gives artificially as an early-15c. adverb meaning by art, human skill, and contrivance.",strong,supporting,Important because the adverb preserves the art/skill/contrivance layer directly.
etymonline_artifice_pre1828,artifice,artifice,1530s; 1650s claimed,Etymonline,,etymology_source,https://www.etymonline.com/word/artifice,word_family_etymology,medium,"Gives artifice first as workmanship/making by craft or skill, with crafty device/trick later.",strong,supporting,Strong bridge evidence; direct OED would improve confidence.
etymonline_artificer_pre1828,artificer,artificer,late 14c.; c.1600 claimed,Etymonline,,etymology_source,https://www.etymonline.com/word/artificer,word_family_etymology,medium,"Gives artificer as one who makes by art or skill, with later devious-artifice specialization.",strong,supporting,Good maker/craftsperson support before 1828.
johnson_artificial_secondary_pre1828,artificial,artificial,1755 / 1773,Johnson's Dictionary via scholarly/secondary references,,historical_dictionary,https://johnsonsdictionaryonline.com/views/search.php?term=artificial,mixed_bridge_sense,low,Secondary/scholarly references report Johnson senses: made by art/not natural; fictitious/not genuine; artful/contrived with skill.,medium,supporting,Useful pointer but direct Johnson entry still needs manual verification.
johnson_artifice_secondary_pre1828,artifice,artifice,1755,Johnson via Definitions.net,,historical_dictionary,https://www.definitions.net/definition/artifice,mixed_bridge_sense,low,Secondary transcription gives artifice as trick/fraud/stratagem and art/trade.,medium,supporting,Confirms bridge shape if verified directly.
sherry_1550_artificiall_proves,artificial arguments,artificiall; vnartificial,1550,A Treatise of Schemes and Tropes,Richard Sherry,primary_text,https://www.gutenberg.org/files/28447/28447-h/28447-h.htm,technical_rule_reckoning,high,"Rhetorical proofs are divided into artificiall and vnartificial; artificial proofs are made by the disputant's wit, while inartificial proofs are supplied otherwise.",strong,supporting,Excellent pre-1828 technical/rhetorical anchor.
wilson_1553_artificiall_memory,artificial memory,artificiall; memorie,1553,The Arte of Rhetorique,Thomas Wilson,primary_text,https://ota.bodleian.ox.ac.uk/repository/xmlui/bitstream/handle/20.500.12024/3153/3153.html?isAllowed=y&sequence=6,technical_rule_reckoning,high,"Memory is divided into natural and artificiall, where natural memory works without precepts and artificial memory belongs to the teachable art of memory.",strong,supporting,Strong English pre-1828 learned-technique anchor.
fulwood_1562_artificiall_memorie,artificial memory,Artificiall Memorie,1562,The Castel of Memorie,William Fulwood / Guglielmo Gratarolo,secondary_scholarly,https://deepblue.lib.umich.edu/bitstream/handle/2027.42/99866/bozio_1.pdf?sequence=1,technical_rule_reckoning,medium,Scholarly quotation reports Artificiall Memorie as an ordered placing of sensible things in the mind by imagination so natural memory can recall them.,medium,supporting,Strong concept; direct public-domain text would be better than dissertation quotation.
ad_herennium_artificial_memory_concept,artificial memory,artificial memory,classical source; modern translation,Rhetorica ad Herennium passages on memory,Anonymous; translated excerpt,secondary_scholarly,https://www.laits.utexas.edu/memoria/Ad_Herennium_Passages.html,technical_rule_reckoning,medium,Artificial memory is contrasted with natural memory and strengthened by training and discipline.,medium,background,"Concept history, not English word-history evidence by itself."
napier_artificial_numbers,artificial numbers,artificial numbers,1614/1619 context,John Napier and logarithms,MAA / Britannica-Wikisource summaries,secondary_scholarly,https://old.maa.org/press/periodicals/convergence/napiers-binary-chessboard-calculator-napier-and-logarithms,technical_rule_reckoning,medium,Napier first announced or described logarithms as artificial numbers before or around the naming of logarithms.,strong,supporting,Good pre-1828 mathematical/reckoning support; primary Latin text could be checked later.
johnson_artificial_secondary,artificial,artificial,1755/1773,A Dictionary of the English Language,Samuel Johnson via secondary/scholarly references,historical_dictionary,https://johnsonsdictionaryonline.com/views/search.php?term=artificial,mixed_bridge_sense,low,"Johnson is reported to list made by art/not natural, fictitious/not genuine, and artful/contrived with skill.",medium,needs_review,Manual direct Johnson check still needed.
