id,term,year,period,source_name,source_type,source_url,evidence_kind,sense,confidence,short_summary,chart_01_usefulness,notes
etymonline_artificial_family,artificial,1400,late medieval / early modern,Etymonline,secondary_etymology,https://www.etymonline.com/word/artificial,etymology,art_skill_making,medium,"Connects artificial to Latin artificialis/artificium and to art, skill, theory/system, and the maker root.",core,"Use as semantic-family evidence, not as final earliest-quotation proof."
etymonline_artificial_day,artificial day,1400,late medieval / early modern,Etymonline,secondary_etymology,https://www.etymonline.com/word/artificial,attestation,technical_rule_reckoning,medium,"Reports artificial day as an early English phrase for the daylight span, contrasted with the full natural day.",supporting,Useful technical/reckoning anchor but likely too obscure without extra context.
etymonline_artifice_skill_before_trick,artifice,1530,16th century,Etymonline,secondary_etymology,https://www.etymonline.com/word/artifice,etymology,art_skill_making,medium,"Gives artifice first as workmanship and making by craft or skill, with trick/device later.",core,Directly supports the skill-before-deception distinction.
etymonline_artificer_maker,artificer,1400,late medieval,Etymonline,secondary_etymology,https://www.etymonline.com/word/artificer,etymology,art_skill_making,medium,"Gives artificer as one who makes by art or skill, strengthening the maker/craftsperson branch.",supporting,Probably background or annotation evidence.
webster_1828_artificial_primary,artificial,1828,19th century,Webster 1828,historical_dictionary,https://webstersdictionary1828.com/Dictionary/artificial,definition,art_skill_making,high,"Places made or contrived by art/human skill before fictitious/not-genuine senses, and gives technical examples.",core,Best public historical dictionary anchor collected in this pass.
webster_1828_artificial_fake_secondary,artificial,1828,19th century,Webster 1828,historical_dictionary,https://webstersdictionary1828.com/Dictionary/artificial,definition,fake_not_genuine,high,"Also records feigned, fictitious, and not genuine/natural as a separate sense.",supporting,Useful for coexistence rather than a simple replacement story.
webster_1828_art_technical_skill,art,1828,19th century,Webster 1828,historical_dictionary,https://webstersdictionary1828.com/Dictionary/art,definition,art_skill_making,high,"Frames art as human skill, rule-governed action, mechanic/liberal arts, and learned dexterity.",core,Key support for explaining art in artificial as skill/technique.
webster_1828_artifice_mixed,artifice,1828,19th century,Webster 1828,historical_dictionary,https://webstersdictionary1828.com/Dictionary/artifice,definition,contrivance_construction,high,"Defines artifice as an ingenious device in good or bad sense, and as art/trade/skill by practice.",supporting,Good for showing contrivance is not automatically deception.
webster_1828_artificer_agent,artificer,1828,19th century,Webster 1828,historical_dictionary,https://webstersdictionary1828.com/Dictionary/artificer,definition,art_skill_making,high,Defines artificer as skilled artist/mechanic/manufacturer and maker/contriver.,supporting,Strong maker noun; may be too specialized for main visual text.
webster_1828_artificial_arguments,artificial arguments,1828,19th century,Webster 1828,historical_dictionary,https://webstersdictionary1828.com/Dictionary/artificial,usage_example,technical_rule_reckoning,high,"Rhetorical artificial arguments are invented by the speaker, contrasted with authority/testimony-type proofs.",supporting,"Shows artificial as made by rhetorical art, not fake."
ad_herennium_artificial_memory,artificial memory,0,classical rhetorical tradition,Rhetorica ad Herennium passages on memory,book_snippet,https://www.laits.utexas.edu/memoria/Ad_Herennium_Passages.html,snippet,technical_rule_reckoning,medium,Distinguishes natural memory from artificial memory as training/system/discipline that strengthens memory.,supporting,Conceptually strong but not an English lexical attestation.
cambridge_memory_middle_ages_summary,artificial memory,2021,modern scholarly summary,Cambridge University Press,book_snippet,https://www.cambridge.org/core/books/memory-in-the-middle-ages/james-i-of-aragon-vicent-ferrer-and-francesc-eiximenis-natural-memory-and-artificial-memory/6A9911639FE5CF09F0D9DAA1484E4C26,snippet,technical_rule_reckoning,medium,Summarizes classical/medieval rhetoric as distinguishing innate natural memory from rule-cultivated artificial memory.,background,Good scholarly corroboration; full chapter may be paywalled.
mw_artificial_modern_split,artificial,2026,modern,Merriam-Webster,dictionary,https://www.merriam-webster.com/dictionary/artificial,definition,not_natural,high,"Modern entry keeps human-made/natural-model and not-genuine/sincere branches, with etymology from skill/craft/making.",supporting,"Good for modern sense split and etymology, not early chronology."
cambridge_artificial_modern_split,artificial,2026,modern,Cambridge Dictionary,dictionary,https://dictionary.cambridge.org/dictionary/english/artificial,definition,not_natural,high,Modern entry separates made by people/often copy of nature from not sincere.,background,Useful contrast source; not an early-history source.
oxford_learners_synonym_split,artificial,2026,modern,Oxford Learner's Dictionary,dictionary,https://www.oxfordlearnersdictionaries.com/definition/english/artificial,definition,imitation_substitute,high,"Modern learner entry separates artificial, synthetic, false, man-made, fake, and imitation in the synonym field.",background,Useful for later precision: not natural does not automatically mean fake.
ngram_artificial,artificial,1800,1800-2019,Google Books Ngram Viewer,ngram,https://books.google.com/ngrams/json?content=artificial%2Cartificially%2Cartifice%2Cartificer%2Cartificiality%2Cartful%2Cartless%2Cartisan&year_start=1800&year_end=2019&corpus=en&smoothing=0&case_insensitive=true,frequency_signal,unclear_or_mixed,medium,Ngram visibility collected; peak raw value 0.00002587142388152386.,supporting,Ngram visibility only.
ngram_artificially,artificially,1800,1800-2019,Google Books Ngram Viewer,ngram,https://books.google.com/ngrams/json?content=artificial%2Cartificially%2Cartifice%2Cartificer%2Cartificiality%2Cartful%2Cartless%2Cartisan&year_start=1800&year_end=2019&corpus=en&smoothing=0&case_insensitive=true,frequency_signal,unclear_or_mixed,medium,Ngram visibility collected; peak raw value 0.000003026916651549527.,supporting,Ngram visibility only.
