year,term,value,source,corpus,smoothing,case_sensitive,query_group
1800,artificial,0.000014720395384415497,Google Books Ngram Viewer,en,0,false,primary_chart_01_term
1801,artificial,0.00001617228807049287,Google Books Ngram Viewer,en,0,false,primary_chart_01_term
1802,artificial,0.00001679466745940772,Google Books Ngram Viewer,en,0,false,primary_chart_01_term
1803,artificial,0.000011306018336654233,Google Books Ngram Viewer,en,0,false,primary_chart_01_term
1804,artificial,0.00001211725715677403,Google Books Ngram Viewer,en,0,false,primary_chart_01_term
1805,artificial,0.000014418483452516284,Google Books Ngram Viewer,en,0,false,primary_chart_01_term
1806,artificial,0.00001576067798225722,Google Books Ngram Viewer,en,0,false,primary_chart_01_term
1807,artificial,0.000018157299194854204,Google Books Ngram Viewer,en,0,false,primary_chart_01_term
1808,artificial,0.000014920752754221667,Google Books Ngram Viewer,en,0,false,primary_chart_01_term
1809,artificial,0.000014477631182785444,Google Books Ngram Viewer,en,0,false,primary_chart_01_term
1810,artificial,0.000016888607746068374,Google Books Ngram Viewer,en,0,false,primary_chart_01_term
1811,artificial,0.000012553627968259207,Google Books Ngram Viewer,en,0,false,primary_chart_01_term
1812,artificial,0.00001083046194594317,Google Books Ngram Viewer,en,0,false,primary_chart_01_term
1813,artificial,0.000015810772268309847,Google Books Ngram Viewer,en,0,false,primary_chart_01_term
1814,artificial,0.000012222239206494123,Google Books Ngram Viewer,en,0,false,primary_chart_01_term
1815,artificial,0.00001544607571446477,Google Books Ngram Viewer,en,0,false,primary_chart_01_term
1816,artificial,0.000013094824510062608,Google Books Ngram Viewer,en,0,false,primary_chart_01_term
1817,artificial,0.000015500447545946372,Google Books Ngram Viewer,en,0,false,primary_chart_01_term
1818,artificial,0.000015378879481886543,Google Books Ngram Viewer,en,0,false,primary_chart_01_term
1819,artificial,0.000023677094759477768,Google Books Ngram Viewer,en,0,false,primary_chart_01_term
1820,artificial,0.000015126426006872862,Google Books Ngram Viewer,en,0,false,primary_chart_01_term
1821,artificial,0.000015772047547102375,Google Books Ngram Viewer,en,0,false,primary_chart_01_term
1822,artificial,0.000016539561912054523,Google Books Ngram Viewer,en,0,false,primary_chart_01_term
