term,term_slug,query_group,semantic_domain,narrative_role,status,first_nonzero_year,last_nonzero_year,peak_year,peak_value,peak_per_million,recent_year,recent_value,recent_per_million,nonzero_year_count,avg_1800_1849_per_million,avg_1850_1899_per_million,avg_1900_1949_per_million,avg_1950_1999_per_million,avg_2000_2020_per_million,first_above_0_01_per_million,first_above_0_1_per_million,first_above_1_per_million,returned_ngram,notes
artificial light,artificial_light,chart06_sense,SENSE,early sensory substitute / illumination anchor,collected,1800,2020,1915,0.0000011942825789978961,1.1942825789978961,2020,2.7522870431340163e-7,0.27522870431340163,221,0.17510245665652846,0.4819633669106427,0.8046881668211103,0.33398637285984856,0.25281151116087247,1800,1800,1915,artificial light (All),
artificial colour,artificial_colour,chart06_sense,SENSE,British spelling; color and perception manufacturing,collected,1800,2020,1854,2.9216543850907328e-8,0.02921654385090733,2020,2.4728933553652688e-9,0.0024728933553652688,219,0.005896565241636509,0.009334606820010638,0.004993483300047563,0.0034856702676999696,0.0028422495232052624,1806,,,artificial colour (All),
artificial color,artificial_color,chart06_sense,SENSE,American spelling; color and perception manufacturing,collected,1800,2020,1908,1.526615980296242e-7,0.1526615980296242,2020,6.637766530870337e-9,0.006637766530870337,192,0.0013902867190829227,0.007131321496656184,0.06419256821765806,0.02411972429228193,0.010259296086609491,1805,1907,,artificial color (All),
artificial flower,artificial_flower,chart06_sense,SENSE,decorative substitute and artificial natural object,collected,1800,2020,1934,1.2616179040358944e-7,0.12616179040358944,2020,1.2104162103176996e-8,0.012104162103176996,221,0.031557146714655815,0.0600119803229049,0.07031183478431458,0.038940277833215964,0.014345898676169458,1801,1845,,artificial flower (All),
artificial flavour,artificial_flavour,chart06_sense,SENSE,British spelling; food-sensory substitute and suspicion,collected,1815,2020,1824,6.679261588260488e-9,0.006679261588260488,2020,1.1279864334245993e-9,0.0011279864334245993,182,0.0011967053481498624,0.0009191732533442298,0.0006318890034828772,0.0009057027412773255,0.001238945957731425,,,,artificial flavour (All),
artificial flavor,artificial_flavor,chart06_sense,SENSE,American spelling; food-sensory substitute and suspicion,collected,1809,2020,1911,8.262481010490319e-8,0.08262481010490319,2020,6.811302716291934e-9,0.006811302716291934,162,0.0001437923047298284,0.0012934551735233057,0.023066864285881117,0.021132019033809346,0.01118101307703977,1855,,,artificial flavor (All),
artificial sweetener,artificial_sweetener,chart06_sense,SENSE,taste substitute and consumer-regulatory signal,collected,1832,2020,1977,9.088238042687102e-8,0.09088238042687102,2020,4.0911202890681064e-8,0.040911202890681064,130,0.000012284603334578037,0.00007884659897205992,0.0027962469791031896,0.03641513011784503,0.05674060324103341,1934,,,artificial sweetener (All),
artificial silk,artificial_silk,chart06_material,MATERIAL,industrial textile substitute,collected,1804,2020,1929,0.000004645318360169126,4.645318360169126,2020,2.377448384688341e-8,0.02377448384688341,177,0.0018999414841402995,0.025591151442683202,1.3516499652459213,0.1903989751063373,0.0277132316166207,1823,1895,1920,artificial silk (All),
artificial stone,artificial_stone,chart06_material,MATERIAL,engineered building/material substitute,collected,1800,2020,1872,0.0000011374043615286489,1.1374043615286489,2020,2.0130219234582025e-8,0.020130219234582025,221,0.11370891621176327,0.46758970681182177,0.5536119782847959,0.06253823405084902,0.02676596187761594,1800,1802,1872,artificial stone (All),
artificial rubber,artificial_rubber,chart06_material,MATERIAL,synthetic/wartime material substitute,collected,1832,2020,1942,1.5329053895674072e-7,0.15329053895674072,2020,3.644263994739827e-9,0.003644263994739827,157,0.00014950845117489564,0.002769298582672164,0.04456781200590232,0.011559118541087932,0.004987327967111089,1892,1912,,artificial rubber (All),
artificial fibre,artificial_fibre,chart06_material,MATERIAL,British spelling; synthetic textile material,collected,1832,2020,1963,4.052877278226674e-8,0.04052877278226674,2020,3.297191096540697e-9,0.003297191096540697,135,0.000035121439090346485,0.00013476880444951433,0.011818225283538597,0.01632876540216821,0.0031220779519870404,1923,,,artificial fibre (All),
