year,term,value,source,corpus,smoothing,case_sensitive,query_group,narrative_role
1800,photograph,2.2213017381034206e-7,Google Books Ngram Viewer,en,0,false,a_narrative_spine,photographic image baseline; helps define the reproduction-era window
1801,photograph,9.331546735324991e-8,Google Books Ngram Viewer,en,0,false,a_narrative_spine,photographic image baseline; helps define the reproduction-era window
1802,photograph,1.7551906594803768e-8,Google Books Ngram Viewer,en,0,false,a_narrative_spine,photographic image baseline; helps define the reproduction-era window
1803,photograph,7.281286684701627e-9,Google Books Ngram Viewer,en,0,false,a_narrative_spine,photographic image baseline; helps define the reproduction-era window
1804,photograph,1.3518423691571968e-7,Google Books Ngram Viewer,en,0,false,a_narrative_spine,photographic image baseline; helps define the reproduction-era window
1805,photograph,2.4212398974654548e-8,Google Books Ngram Viewer,en,0,false,a_narrative_spine,photographic image baseline; helps define the reproduction-era window
1806,photograph,1.3071182247692548e-7,Google Books Ngram Viewer,en,0,false,a_narrative_spine,photographic image baseline; helps define the reproduction-era window
1807,photograph,4.578062262616811e-8,Google Books Ngram Viewer,en,0,false,a_narrative_spine,photographic image baseline; helps define the reproduction-era window
1808,photograph,5.131475955266751e-8,Google Books Ngram Viewer,en,0,false,a_narrative_spine,photographic image baseline; helps define the reproduction-era window
1809,photograph,2.7060993446070825e-8,Google Books Ngram Viewer,en,0,false,a_narrative_spine,photographic image baseline; helps define the reproduction-era window
1810,photograph,8.264838591287571e-9,Google Books Ngram Viewer,en,0,false,a_narrative_spine,photographic image baseline; helps define the reproduction-era window
1811,photograph,4.1890110935582925e-8,Google Books Ngram Viewer,en,0,false,a_narrative_spine,photographic image baseline; helps define the reproduction-era window
1812,photograph,1.0703359976105276e-8,Google Books Ngram Viewer,en,0,false,a_narrative_spine,photographic image baseline; helps define the reproduction-era window
1813,photograph,7.795470047256003e-9,Google Books Ngram Viewer,en,0,false,a_narrative_spine,photographic image baseline; helps define the reproduction-era window
1814,photograph,1.5850165624442525e-8,Google Books Ngram Viewer,en,0,false,a_narrative_spine,photographic image baseline; helps define the reproduction-era window
1815,photograph,2.7307980321467085e-8,Google Books Ngram Viewer,en,0,false,a_narrative_spine,photographic image baseline; helps define the reproduction-era window
1816,photograph,3.483009258786751e-8,Google Books Ngram Viewer,en,0,false,a_narrative_spine,photographic image baseline; helps define the reproduction-era window
1817,photograph,1.330309018499065e-7,Google Books Ngram Viewer,en,0,false,a_narrative_spine,photographic image baseline; helps define the reproduction-era window
1818,photograph,2.5652843627099742e-8,Google Books Ngram Viewer,en,0,false,a_narrative_spine,photographic image baseline; helps define the reproduction-era window
1819,photograph,1.84266499836383e-8,Google Books Ngram Viewer,en,0,false,a_narrative_spine,photographic image baseline; helps define the reproduction-era window
1820,photograph,2.413187383254467e-8,Google Books Ngram Viewer,en,0,false,a_narrative_spine,photographic image baseline; helps define the reproduction-era window
