year,term,value,source,corpus,smoothing,case_sensitive,query_group,narrative_role
1800,talking picture,0,Google Books Ngram Viewer,en,0,false,b_sound_reproduction,sound-film transition marker after the late-1920s shift
1801,talking picture,0,Google Books Ngram Viewer,en,0,false,b_sound_reproduction,sound-film transition marker after the late-1920s shift
1802,talking picture,0,Google Books Ngram Viewer,en,0,false,b_sound_reproduction,sound-film transition marker after the late-1920s shift
1803,talking picture,0,Google Books Ngram Viewer,en,0,false,b_sound_reproduction,sound-film transition marker after the late-1920s shift
1804,talking picture,0,Google Books Ngram Viewer,en,0,false,b_sound_reproduction,sound-film transition marker after the late-1920s shift
1805,talking picture,0,Google Books Ngram Viewer,en,0,false,b_sound_reproduction,sound-film transition marker after the late-1920s shift
1806,talking picture,0,Google Books Ngram Viewer,en,0,false,b_sound_reproduction,sound-film transition marker after the late-1920s shift
1807,talking picture,0,Google Books Ngram Viewer,en,0,false,b_sound_reproduction,sound-film transition marker after the late-1920s shift
1808,talking picture,0,Google Books Ngram Viewer,en,0,false,b_sound_reproduction,sound-film transition marker after the late-1920s shift
1809,talking picture,0,Google Books Ngram Viewer,en,0,false,b_sound_reproduction,sound-film transition marker after the late-1920s shift
1810,talking picture,0,Google Books Ngram Viewer,en,0,false,b_sound_reproduction,sound-film transition marker after the late-1920s shift
1811,talking picture,0,Google Books Ngram Viewer,en,0,false,b_sound_reproduction,sound-film transition marker after the late-1920s shift
1812,talking picture,0,Google Books Ngram Viewer,en,0,false,b_sound_reproduction,sound-film transition marker after the late-1920s shift
1813,talking picture,0,Google Books Ngram Viewer,en,0,false,b_sound_reproduction,sound-film transition marker after the late-1920s shift
1814,talking picture,0,Google Books Ngram Viewer,en,0,false,b_sound_reproduction,sound-film transition marker after the late-1920s shift
1815,talking picture,0,Google Books Ngram Viewer,en,0,false,b_sound_reproduction,sound-film transition marker after the late-1920s shift
1816,talking picture,0,Google Books Ngram Viewer,en,0,false,b_sound_reproduction,sound-film transition marker after the late-1920s shift
1817,talking picture,0,Google Books Ngram Viewer,en,0,false,b_sound_reproduction,sound-film transition marker after the late-1920s shift
1818,talking picture,0,Google Books Ngram Viewer,en,0,false,b_sound_reproduction,sound-film transition marker after the late-1920s shift
1819,talking picture,0,Google Books Ngram Viewer,en,0,false,b_sound_reproduction,sound-film transition marker after the late-1920s shift
1820,talking picture,0,Google Books Ngram Viewer,en,0,false,b_sound_reproduction,sound-film transition marker after the late-1920s shift
1821,talking picture,0,Google Books Ngram Viewer,en,0,false,b_sound_reproduction,sound-film transition marker after the late-1920s shift
1822,talking picture,0,Google Books Ngram Viewer,en,0,false,b_sound_reproduction,sound-film transition marker after the late-1920s shift
