year,term,value,source,corpus,smoothing,case_sensitive,query_group,narrative_role
1800,mechanical reproduction,0,Google Books Ngram Viewer,en,0,false,b_supporting_evidence,direct Benjamin-line academic/theoretical bridge
1801,mechanical reproduction,0,Google Books Ngram Viewer,en,0,false,b_supporting_evidence,direct Benjamin-line academic/theoretical bridge
1802,mechanical reproduction,0,Google Books Ngram Viewer,en,0,false,b_supporting_evidence,direct Benjamin-line academic/theoretical bridge
1803,mechanical reproduction,0,Google Books Ngram Viewer,en,0,false,b_supporting_evidence,direct Benjamin-line academic/theoretical bridge
1804,mechanical reproduction,0,Google Books Ngram Viewer,en,0,false,b_supporting_evidence,direct Benjamin-line academic/theoretical bridge
1805,mechanical reproduction,0,Google Books Ngram Viewer,en,0,false,b_supporting_evidence,direct Benjamin-line academic/theoretical bridge
1806,mechanical reproduction,0,Google Books Ngram Viewer,en,0,false,b_supporting_evidence,direct Benjamin-line academic/theoretical bridge
1807,mechanical reproduction,0,Google Books Ngram Viewer,en,0,false,b_supporting_evidence,direct Benjamin-line academic/theoretical bridge
1808,mechanical reproduction,0,Google Books Ngram Viewer,en,0,false,b_supporting_evidence,direct Benjamin-line academic/theoretical bridge
1809,mechanical reproduction,1.9145884877502795e-9,Google Books Ngram Viewer,en,0,false,b_supporting_evidence,direct Benjamin-line academic/theoretical bridge
1810,mechanical reproduction,0,Google Books Ngram Viewer,en,0,false,b_supporting_evidence,direct Benjamin-line academic/theoretical bridge
1811,mechanical reproduction,1.7783770012158584e-9,Google Books Ngram Viewer,en,0,false,b_supporting_evidence,direct Benjamin-line academic/theoretical bridge
1812,mechanical reproduction,1.4167877981918764e-9,Google Books Ngram Viewer,en,0,false,b_supporting_evidence,direct Benjamin-line academic/theoretical bridge
1813,mechanical reproduction,0,Google Books Ngram Viewer,en,0,false,b_supporting_evidence,direct Benjamin-line academic/theoretical bridge
1814,mechanical reproduction,0,Google Books Ngram Viewer,en,0,false,b_supporting_evidence,direct Benjamin-line academic/theoretical bridge
1815,mechanical reproduction,0,Google Books Ngram Viewer,en,0,false,b_supporting_evidence,direct Benjamin-line academic/theoretical bridge
1816,mechanical reproduction,0,Google Books Ngram Viewer,en,0,false,b_supporting_evidence,direct Benjamin-line academic/theoretical bridge
1817,mechanical reproduction,3.3168174873310363e-9,Google Books Ngram Viewer,en,0,false,b_supporting_evidence,direct Benjamin-line academic/theoretical bridge
1818,mechanical reproduction,0,Google Books Ngram Viewer,en,0,false,b_supporting_evidence,direct Benjamin-line academic/theoretical bridge
1819,mechanical reproduction,0,Google Books Ngram Viewer,en,0,false,b_supporting_evidence,direct Benjamin-line academic/theoretical bridge
1820,mechanical reproduction,0,Google Books Ngram Viewer,en,0,false,b_supporting_evidence,direct Benjamin-line academic/theoretical bridge
1821,mechanical reproduction,0,Google Books Ngram Viewer,en,0,false,b_supporting_evidence,direct Benjamin-line academic/theoretical bridge
1822,mechanical reproduction,0,Google Books Ngram Viewer,en,0,false,b_supporting_evidence,direct Benjamin-line academic/theoretical bridge
1823,mechanical reproduction,0,Google Books Ngram Viewer,en,0,false,b_supporting_evidence,direct Benjamin-line academic/theoretical bridge
1824,mechanical reproduction,0,Google Books Ngram Viewer,en,0,false,b_supporting_evidence,direct Benjamin-line academic/theoretical bridge
1825,mechanical reproduction,0,Google Books Ngram Viewer,en,0,false,b_supporting_evidence,direct Benjamin-line academic/theoretical bridge
1826,mechanical reproduction,0,Google Books Ngram Viewer,en,0,false,b_supporting_evidence,direct Benjamin-line academic/theoretical bridge
1827,mechanical reproduction,0,Google Books Ngram Viewer,en,0,false,b_supporting_evidence,direct Benjamin-line academic/theoretical bridge
1828,mechanical reproduction,0,Google Books Ngram Viewer,en,0,false,b_supporting_evidence,direct Benjamin-line academic/theoretical bridge
1829,mechanical reproduction,0,Google Books Ngram Viewer,en,0,false,b_supporting_evidence,direct Benjamin-line academic/theoretical bridge
1830,mechanical reproduction,0,Google Books Ngram Viewer,en,0,false,b_supporting_evidence,direct Benjamin-line academic/theoretical bridge
1831,mechanical reproduction,0,Google Books Ngram Viewer,en,0,false,b_supporting_evidence,direct Benjamin-line academic/theoretical bridge
1832,mechanical reproduction,2.3954976668960626e-8,Google Books Ngram Viewer,en,0,false,b_supporting_evidence,direct Benjamin-line academic/theoretical bridge
1833,mechanical reproduction,0,Google Books Ngram Viewer,en,0,false,b_supporting_evidence,direct Benjamin-line academic/theoretical bridge
1834,mechanical reproduction,1.6159746873967151e-9,Google Books Ngram Viewer,en,0,false,b_supporting_evidence,direct Benjamin-line academic/theoretical bridge
1835,mechanical reproduction,0,Google Books Ngram Viewer,en,0,false,b_supporting_evidence,direct Benjamin-line academic/theoretical bridge
