year,term,value,source,corpus,smoothing,case_sensitive,query_group,narrative_role
1800,digital image,0,Google Books Ngram Viewer,en,0,false,i_digital_entry,digital visual artifact and digital-era image reproduction
1801,digital image,0,Google Books Ngram Viewer,en,0,false,i_digital_entry,digital visual artifact and digital-era image reproduction
1802,digital image,0,Google Books Ngram Viewer,en,0,false,i_digital_entry,digital visual artifact and digital-era image reproduction
1803,digital image,0,Google Books Ngram Viewer,en,0,false,i_digital_entry,digital visual artifact and digital-era image reproduction
1804,digital image,0,Google Books Ngram Viewer,en,0,false,i_digital_entry,digital visual artifact and digital-era image reproduction
1805,digital image,0,Google Books Ngram Viewer,en,0,false,i_digital_entry,digital visual artifact and digital-era image reproduction
1806,digital image,0,Google Books Ngram Viewer,en,0,false,i_digital_entry,digital visual artifact and digital-era image reproduction
1807,digital image,0,Google Books Ngram Viewer,en,0,false,i_digital_entry,digital visual artifact and digital-era image reproduction
1808,digital image,0,Google Books Ngram Viewer,en,0,false,i_digital_entry,digital visual artifact and digital-era image reproduction
1809,digital image,0,Google Books Ngram Viewer,en,0,false,i_digital_entry,digital visual artifact and digital-era image reproduction
1810,digital image,0,Google Books Ngram Viewer,en,0,false,i_digital_entry,digital visual artifact and digital-era image reproduction
1811,digital image,0,Google Books Ngram Viewer,en,0,false,i_digital_entry,digital visual artifact and digital-era image reproduction
1812,digital image,0,Google Books Ngram Viewer,en,0,false,i_digital_entry,digital visual artifact and digital-era image reproduction
1813,digital image,0,Google Books Ngram Viewer,en,0,false,i_digital_entry,digital visual artifact and digital-era image reproduction
1814,digital image,0,Google Books Ngram Viewer,en,0,false,i_digital_entry,digital visual artifact and digital-era image reproduction
1815,digital image,0,Google Books Ngram Viewer,en,0,false,i_digital_entry,digital visual artifact and digital-era image reproduction
1816,digital image,0,Google Books Ngram Viewer,en,0,false,i_digital_entry,digital visual artifact and digital-era image reproduction
1817,digital image,0,Google Books Ngram Viewer,en,0,false,i_digital_entry,digital visual artifact and digital-era image reproduction
1818,digital image,0,Google Books Ngram Viewer,en,0,false,i_digital_entry,digital visual artifact and digital-era image reproduction
1819,digital image,0,Google Books Ngram Viewer,en,0,false,i_digital_entry,digital visual artifact and digital-era image reproduction
1820,digital image,0,Google Books Ngram Viewer,en,0,false,i_digital_entry,digital visual artifact and digital-era image reproduction
1821,digital image,0,Google Books Ngram Viewer,en,0,false,i_digital_entry,digital visual artifact and digital-era image reproduction
1822,digital image,0,Google Books Ngram Viewer,en,0,false,i_digital_entry,digital visual artifact and digital-era image reproduction
1823,digital image,0,Google Books Ngram Viewer,en,0,false,i_digital_entry,digital visual artifact and digital-era image reproduction
1824,digital image,0,Google Books Ngram Viewer,en,0,false,i_digital_entry,digital visual artifact and digital-era image reproduction
1825,digital image,0,Google Books Ngram Viewer,en,0,false,i_digital_entry,digital visual artifact and digital-era image reproduction
1826,digital image,0,Google Books Ngram Viewer,en,0,false,i_digital_entry,digital visual artifact and digital-era image reproduction
1827,digital image,0,Google Books Ngram Viewer,en,0,false,i_digital_entry,digital visual artifact and digital-era image reproduction
1828,digital image,0,Google Books Ngram Viewer,en,0,false,i_digital_entry,digital visual artifact and digital-era image reproduction
1829,digital image,0,Google Books Ngram Viewer,en,0,false,i_digital_entry,digital visual artifact and digital-era image reproduction
1830,digital image,0,Google Books Ngram Viewer,en,0,false,i_digital_entry,digital visual artifact and digital-era image reproduction
1831,digital image,0,Google Books Ngram Viewer,en,0,false,i_digital_entry,digital visual artifact and digital-era image reproduction
1832,digital image,0,Google Books Ngram Viewer,en,0,false,i_digital_entry,digital visual artifact and digital-era image reproduction
1833,digital image,0,Google Books Ngram Viewer,en,0,false,i_digital_entry,digital visual artifact and digital-era image reproduction
1834,digital image,0,Google Books Ngram Viewer,en,0,false,i_digital_entry,digital visual artifact and digital-era image reproduction
1835,digital image,0,Google Books Ngram Viewer,en,0,false,i_digital_entry,digital visual artifact and digital-era image reproduction
1836,digital image,0,Google Books Ngram Viewer,en,0,false,i_digital_entry,digital visual artifact and digital-era image reproduction
1837,digital image,0,Google Books Ngram Viewer,en,0,false,i_digital_entry,digital visual artifact and digital-era image reproduction
1838,digital image,0,Google Books Ngram Viewer,en,0,false,i_digital_entry,digital visual artifact and digital-era image reproduction
1839,digital image,0,Google Books Ngram Viewer,en,0,false,i_digital_entry,digital visual artifact and digital-era image reproduction
1840,digital image,0,Google Books Ngram Viewer,en,0,false,i_digital_entry,digital visual artifact and digital-era image reproduction
1841,digital image,0,Google Books Ngram Viewer,en,0,false,i_digital_entry,digital visual artifact and digital-era image reproduction
1842,digital image,0,Google Books Ngram Viewer,en,0,false,i_digital_entry,digital visual artifact and digital-era image reproduction
1843,digital image,0,Google Books Ngram Viewer,en,0,false,i_digital_entry,digital visual artifact and digital-era image reproduction
1844,digital image,0,Google Books Ngram Viewer,en,0,false,i_digital_entry,digital visual artifact and digital-era image reproduction
1845,digital image,0,Google Books Ngram Viewer,en,0,false,i_digital_entry,digital visual artifact and digital-era image reproduction
1846,digital image,0,Google Books Ngram Viewer,en,0,false,i_digital_entry,digital visual artifact and digital-era image reproduction
1847,digital image,0,Google Books Ngram Viewer,en,0,false,i_digital_entry,digital visual artifact and digital-era image reproduction
1848,digital image,0,Google Books Ngram Viewer,en,0,false,i_digital_entry,digital visual artifact and digital-era image reproduction
1849,digital image,0,Google Books Ngram Viewer,en,0,false,i_digital_entry,digital visual artifact and digital-era image reproduction
1850,digital image,0,Google Books Ngram Viewer,en,0,false,i_digital_entry,digital visual artifact and digital-era image reproduction
1851,digital image,0,Google Books Ngram Viewer,en,0,false,i_digital_entry,digital visual artifact and digital-era image reproduction
1852,digital image,0,Google Books Ngram Viewer,en,0,false,i_digital_entry,digital visual artifact and digital-era image reproduction
1853,digital image,0,Google Books Ngram Viewer,en,0,false,i_digital_entry,digital visual artifact and digital-era image reproduction
1854,digital image,0,Google Books Ngram Viewer,en,0,false,i_digital_entry,digital visual artifact and digital-era image reproduction
1855,digital image,0,Google Books Ngram Viewer,en,0,false,i_digital_entry,digital visual artifact and digital-era image reproduction
