year,term,value,source,corpus,smoothing,case_sensitive,query_group,narrative_role
1800,phonograph,1.2815201788640707e-8,Google Books Ngram Viewer,en,0,false,media_technology_anchor,sound reproduction technology anchor
1801,phonograph,0,Google Books Ngram Viewer,en,0,false,media_technology_anchor,sound reproduction technology anchor
1802,phonograph,1.253707582193897e-8,Google Books Ngram Viewer,en,0,false,media_technology_anchor,sound reproduction technology anchor
1803,phonograph,0,Google Books Ngram Viewer,en,0,false,media_technology_anchor,sound reproduction technology anchor
1804,phonograph,2.5575395579124915e-8,Google Books Ngram Viewer,en,0,false,media_technology_anchor,sound reproduction technology anchor
1805,phonograph,0,Google Books Ngram Viewer,en,0,false,media_technology_anchor,sound reproduction technology anchor
1806,phonograph,1.980482222663227e-9,Google Books Ngram Viewer,en,0,false,media_technology_anchor,sound reproduction technology anchor
1807,phonograph,0,Google Books Ngram Viewer,en,0,false,media_technology_anchor,sound reproduction technology anchor
1808,phonograph,0,Google Books Ngram Viewer,en,0,false,media_technology_anchor,sound reproduction technology anchor
1809,phonograph,1.804066229738055e-9,Google Books Ngram Viewer,en,0,false,media_technology_anchor,sound reproduction technology anchor
1810,phonograph,0,Google Books Ngram Viewer,en,0,false,media_technology_anchor,sound reproduction technology anchor
1811,phonograph,0,Google Books Ngram Viewer,en,0,false,media_technology_anchor,sound reproduction technology anchor
1812,phonograph,0,Google Books Ngram Viewer,en,0,false,media_technology_anchor,sound reproduction technology anchor
1813,phonograph,1.5590939650422797e-9,Google Books Ngram Viewer,en,0,false,media_technology_anchor,sound reproduction technology anchor
1814,phonograph,1.7611295755060041e-9,Google Books Ngram Viewer,en,0,false,media_technology_anchor,sound reproduction technology anchor
1815,phonograph,6.826994969344469e-9,Google Books Ngram Viewer,en,0,false,media_technology_anchor,sound reproduction technology anchor
1816,phonograph,6.450016964976157e-9,Google Books Ngram Viewer,en,0,false,media_technology_anchor,sound reproduction technology anchor
1817,phonograph,6.260277629621669e-9,Google Books Ngram Viewer,en,0,false,media_technology_anchor,sound reproduction technology anchor
1818,phonograph,0,Google Books Ngram Viewer,en,0,false,media_technology_anchor,sound reproduction technology anchor
1819,phonograph,0,Google Books Ngram Viewer,en,0,false,media_technology_anchor,sound reproduction technology anchor
1820,phonograph,0,Google Books Ngram Viewer,en,0,false,media_technology_anchor,sound reproduction technology anchor
1821,phonograph,1.081653100420965e-8,Google Books Ngram Viewer,en,0,false,media_technology_anchor,sound reproduction technology anchor
1822,phonograph,1.322741693954299e-9,Google Books Ngram Viewer,en,0,false,media_technology_anchor,sound reproduction technology anchor
1823,phonograph,6.818910769368358e-9,Google Books Ngram Viewer,en,0,false,media_technology_anchor,sound reproduction technology anchor
1824,phonograph,1.042224084812915e-9,Google Books Ngram Viewer,en,0,false,media_technology_anchor,sound reproduction technology anchor
1825,phonograph,0,Google Books Ngram Viewer,en,0,false,media_technology_anchor,sound reproduction technology anchor
1826,phonograph,1.12162334975352e-9,Google Books Ngram Viewer,en,0,false,media_technology_anchor,sound reproduction technology anchor
1827,phonograph,0,Google Books Ngram Viewer,en,0,false,media_technology_anchor,sound reproduction technology anchor
1828,phonograph,1.99686711610525e-9,Google Books Ngram Viewer,en,0,false,media_technology_anchor,sound reproduction technology anchor
