year,term,value,source,corpus,smoothing,case_sensitive,query_group,semantic_domain,narrative_role
1800,artificial respiration,4.548195597919857e-9,Google Books Ngram Viewer,en,0,false,chart06_biological,BIOLOGICAL,life-support intervention and artificial bodily process
1801,artificial respiration,0,Google Books Ngram Viewer,en,0,false,chart06_biological,BIOLOGICAL,life-support intervention and artificial bodily process
1802,artificial respiration,0,Google Books Ngram Viewer,en,0,false,chart06_biological,BIOLOGICAL,life-support intervention and artificial bodily process
1803,artificial respiration,0,Google Books Ngram Viewer,en,0,false,chart06_biological,BIOLOGICAL,life-support intervention and artificial bodily process
1804,artificial respiration,3.894029543261013e-9,Google Books Ngram Viewer,en,0,false,chart06_biological,BIOLOGICAL,life-support intervention and artificial bodily process
1805,artificial respiration,5.1558446401145375e-9,Google Books Ngram Viewer,en,0,false,chart06_biological,BIOLOGICAL,life-support intervention and artificial bodily process
1806,artificial respiration,0,Google Books Ngram Viewer,en,0,false,chart06_biological,BIOLOGICAL,life-support intervention and artificial bodily process
1807,artificial respiration,0,Google Books Ngram Viewer,en,0,false,chart06_biological,BIOLOGICAL,life-support intervention and artificial bodily process
1808,artificial respiration,6.27896312721532e-9,Google Books Ngram Viewer,en,0,false,chart06_biological,BIOLOGICAL,life-support intervention and artificial bodily process
1809,artificial respiration,5.743765463250838e-9,Google Books Ngram Viewer,en,0,false,chart06_biological,BIOLOGICAL,life-support intervention and artificial bodily process
1810,artificial respiration,2.000474907948302e-8,Google Books Ngram Viewer,en,0,false,chart06_biological,BIOLOGICAL,life-support intervention and artificial bodily process
1811,artificial respiration,7.540318218701714e-7,Google Books Ngram Viewer,en,0,false,chart06_biological,BIOLOGICAL,life-support intervention and artificial bodily process
1812,artificial respiration,4.4912173291500324e-7,Google Books Ngram Viewer,en,0,false,chart06_biological,BIOLOGICAL,life-support intervention and artificial bodily process
1813,artificial respiration,2.281899891265482e-7,Google Books Ngram Viewer,en,0,false,chart06_biological,BIOLOGICAL,life-support intervention and artificial bodily process
1814,artificial respiration,6.17924342805054e-8,Google Books Ngram Viewer,en,0,false,chart06_biological,BIOLOGICAL,life-support intervention and artificial bodily process
1815,artificial respiration,2.6790128826448267e-7,Google Books Ngram Viewer,en,0,false,chart06_biological,BIOLOGICAL,life-support intervention and artificial bodily process
1816,artificial respiration,2.4569146717112744e-8,Google Books Ngram Viewer,en,0,false,chart06_biological,BIOLOGICAL,life-support intervention and artificial bodily process
1817,artificial respiration,7.794520939796712e-8,Google Books Ngram Viewer,en,0,false,chart06_biological,BIOLOGICAL,life-support intervention and artificial bodily process
1818,artificial respiration,7.761106246562122e-8,Google Books Ngram Viewer,en,0,false,chart06_biological,BIOLOGICAL,life-support intervention and artificial bodily process
1819,artificial respiration,4.766182470916647e-8,Google Books Ngram Viewer,en,0,false,chart06_biological,BIOLOGICAL,life-support intervention and artificial bodily process
1820,artificial respiration,8.596762279822201e-8,Google Books Ngram Viewer,en,0,false,chart06_biological,BIOLOGICAL,life-support intervention and artificial bodily process
1821,artificial respiration,3.616032140385528e-8,Google Books Ngram Viewer,en,0,false,chart06_biological,BIOLOGICAL,life-support intervention and artificial bodily process
1822,artificial respiration,5.9030555998873524e-8,Google Books Ngram Viewer,en,0,false,chart06_biological,BIOLOGICAL,life-support intervention and artificial bodily process
1823,artificial respiration,7.860490391919939e-8,Google Books Ngram Viewer,en,0,false,chart06_biological,BIOLOGICAL,life-support intervention and artificial bodily process
1824,artificial respiration,5.900014654613983e-8,Google Books Ngram Viewer,en,0,false,chart06_biological,BIOLOGICAL,life-support intervention and artificial bodily process
1825,artificial respiration,6.126135820849754e-8,Google Books Ngram Viewer,en,0,false,chart06_biological,BIOLOGICAL,life-support intervention and artificial bodily process
1826,artificial respiration,1.4438810036487837e-7,Google Books Ngram Viewer,en,0,false,chart06_biological,BIOLOGICAL,life-support intervention and artificial bodily process
1827,artificial respiration,1.344155222682275e-7,Google Books Ngram Viewer,en,0,false,chart06_biological,BIOLOGICAL,life-support intervention and artificial bodily process
