term,query_group,status,first_nonzero_year,last_nonzero_year,peak_year,peak_value,recent_year,recent_value,nonzero_year_count,notes
artificial,core_baseline,collected,1800,2019,1929,0.00002587142388152386,2019,0.000020799102985968876,220,Broad baseline terms for the artificial/natural/real/fake/synthetic field.
artificially,core_baseline,collected,1800,2019,1934,0.000003026916651549527,2019,0.0000020489062548811887,220,Broad baseline terms for the artificial/natural/real/fake/synthetic field.
artificiality,core_baseline,collected,1800,2019,2016,3.5323567049161397e-7,2019,3.090491434987186e-7,214,Broad baseline terms for the artificial/natural/real/fake/synthetic field.
artifice,core_baseline,collected,1800,2019,1806,0.000006890097710154919,2019,8.364966128660001e-7,220,Broad baseline terms for the artificial/natural/real/fake/synthetic field.
natural,core_baseline,collected,1800,2019,1819,0.00016718960409889405,2019,0.0001279747677110643,220,Broad baseline terms for the artificial/natural/real/fake/synthetic field.
real,core_baseline,collected,1800,2019,2011,0.0001813913809292078,2019,0.00017544301376362648,220,Broad baseline terms for the artificial/natural/real/fake/synthetic field.
realistic,core_baseline,collected,1800,2019,1974,0.00001321442498378178,2019,0.000010473047435510807,217,Broad baseline terms for the artificial/natural/real/fake/synthetic field.
fake,core_baseline,collected,1800,2019,1800,0.00002423141073037982,2019,0.000012299913208835278,220,Broad baseline terms for the artificial/natural/real/fake/synthetic field.
genuine,core_baseline,collected,1800,2019,1805,0.00002248363314549806,2019,0.000014913049277254231,220,Broad baseline terms for the artificial/natural/real/fake/synthetic field.
synthetic,core_baseline,collected,1800,2019,1944,0.00003344865218971038,2019,0.000012008355844181362,220,Broad baseline terms for the artificial/natural/real/fake/synthetic field.
imitation,core_baseline,collected,1800,2019,1810,0.000018691522257086035,2019,0.000004737359692086329,220,Broad baseline terms for the artificial/natural/real/fake/synthetic field.
simulated,core_baseline,collected,1800,2019,1995,0.00001078187738889902,2019,0.0000073421319909117155,220,Broad baseline terms for the artificial/natural/real/fake/synthetic field.
constructed,core_baseline,collected,1800,2019,1872,0.00006230368228443695,2019,0.000021840372247491913,220,Broad baseline terms for the artificial/natural/real/fake/synthetic field.
processed,core_baseline,collected,1800,2019,1971,0.000022267300892053754,2019,0.00001082436426358413,220,Broad baseline terms for the artificial/natural/real/fake/synthetic field.
manufactured,core_baseline,collected,1800,2019,1921,0.00003371724849721147,2019,0.000007182098972435824,220,Broad baseline terms for the artificial/natural/real/fake/synthetic field.
man-made,core_baseline,missing,,,,0,,,0,No row returned by Google Ngram for this query.
man made,core_baseline,collected,1800,2019,1848,7.497067763817533e-7,2019,5.50935841545086e-7,220,Broad baseline terms for the artificial/natural/real/fake/synthetic field.
human-made,core_baseline,missing,,,,0,,,0,No row returned by Google Ngram for this query.
human made,core_baseline,collected,1802,2019,2019,3.902422432422448e-8,2019,3.902422432422448e-8,201,Broad baseline terms for the artificial/natural/real/fake/synthetic field.
machine-made,core_baseline,missing,,,,0,,,0,No row returned by Google Ngram for this query.
machine made,core_baseline,collected,1800,2019,1906,4.286099937189647e-7,2019,5.659709568367477e-8,220,Broad baseline terms for the artificial/natural/real/fake/synthetic field.
artificial smile,suspicion_negative,collected,1806,2019,1833,1.7113205075247606e-8,2019,1.2210032984683039e-8,200,"Social, emotional, aesthetic, and behavioral phrases that may need context review for affected or insincere senses."
