year,term,value,source,corpus,smoothing,case_sensitive,query_group
1800,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1801,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1802,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1803,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1804,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1805,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1806,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1807,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1808,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1809,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1810,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1811,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1812,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1813,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1814,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1815,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1816,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1817,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1818,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1819,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1820,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1821,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1822,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1823,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1824,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1825,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1826,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1827,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1828,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1829,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1830,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1831,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1832,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1833,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1834,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1835,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1836,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1837,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1838,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1839,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1840,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1841,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1842,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1843,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1844,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1845,no artificial ingredients,5.383647416756787e-10,Google Books Ngram Viewer,en,0,false,absence_claim
1846,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1847,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1848,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1849,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1850,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1851,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1852,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1853,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1854,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1855,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1856,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1857,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1858,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1859,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1860,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1861,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1862,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1863,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1864,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1865,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1866,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1867,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1868,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1869,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1870,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1871,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1872,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1873,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1874,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1875,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1876,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1877,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1878,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1879,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1880,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1881,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1882,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1883,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1884,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1885,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1886,no artificial ingredients,2.450751268590068e-10,Google Books Ngram Viewer,en,0,false,absence_claim
1887,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1888,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1889,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1890,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1891,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1892,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1893,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1894,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1895,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1896,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1897,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1898,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1899,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1900,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1901,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1902,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1903,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1904,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1905,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1906,no artificial ingredients,2.522163033980007e-10,Google Books Ngram Viewer,en,0,false,absence_claim
1907,no artificial ingredients,1.2942194538290153e-10,Google Books Ngram Viewer,en,0,false,absence_claim
1908,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1909,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1910,no artificial ingredients,1.1327148247142205e-10,Google Books Ngram Viewer,en,0,false,absence_claim
1911,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1912,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1913,no artificial ingredients,2.1453384901892747e-10,Google Books Ngram Viewer,en,0,false,absence_claim
1914,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1915,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1916,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1917,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1918,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1919,no artificial ingredients,6.601748592238721e-10,Google Books Ngram Viewer,en,0,false,absence_claim
1920,no artificial ingredients,6.321087542282555e-10,Google Books Ngram Viewer,en,0,false,absence_claim
1921,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1922,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1923,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1924,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1925,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1926,no artificial ingredients,1.3471088133876208e-10,Google Books Ngram Viewer,en,0,false,absence_claim
1927,no artificial ingredients,2.748260785612189e-10,Google Books Ngram Viewer,en,0,false,absence_claim
1928,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1929,no artificial ingredients,2.5133742309613183e-10,Google Books Ngram Viewer,en,0,false,absence_claim
1930,no artificial ingredients,1.2731499188234352e-10,Google Books Ngram Viewer,en,0,false,absence_claim
1931,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1932,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1933,no artificial ingredients,3.00063807134876e-10,Google Books Ngram Viewer,en,0,false,absence_claim
1934,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1935,no artificial ingredients,1.350203157612917e-9,Google Books Ngram Viewer,en,0,false,absence_claim
1936,no artificial ingredients,2.353480077488257e-9,Google Books Ngram Viewer,en,0,false,absence_claim
1937,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1938,no artificial ingredients,0,Google Books Ngram Viewer,en,0,false,absence_claim
1939,no artificial ingredients,1.2090244083662327e-10,Google Books Ngram Viewer,en,0,false,absence_claim
1940,no artificial ingredients,1.23694401943375e-10,Google Books Ngram Viewer,en,0,false,absence_claim
1941,no artificial ingredients,4.970461264797166e-10,Google Books Ngram Viewer,en,0,false,absence_claim
