year,term,value,source,corpus,smoothing,case_sensitive,query_group
1800,artificial ingredients,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1801,artificial ingredients,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1802,artificial ingredients,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1803,artificial ingredients,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1804,artificial ingredients,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1805,artificial ingredients,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1806,artificial ingredients,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1807,artificial ingredients,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1808,artificial ingredients,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1809,artificial ingredients,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1810,artificial ingredients,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1811,artificial ingredients,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1812,artificial ingredients,1.4167877981918764e-9,Google Books Ngram Viewer,en,0,false,consumer_packaging
1813,artificial ingredients,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1814,artificial ingredients,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1815,artificial ingredients,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1816,artificial ingredients,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1817,artificial ingredients,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1818,artificial ingredients,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1819,artificial ingredients,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1820,artificial ingredients,1.9606650525361147e-8,Google Books Ngram Viewer,en,0,false,consumer_packaging
1821,artificial ingredients,4.930952979265157e-9,Google Books Ngram Viewer,en,0,false,consumer_packaging
1822,artificial ingredients,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1823,artificial ingredients,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1824,artificial ingredients,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1825,artificial ingredients,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1826,artificial ingredients,1.1932901333722157e-9,Google Books Ngram Viewer,en,0,false,consumer_packaging
1827,artificial ingredients,1.139114580439582e-9,Google Books Ngram Viewer,en,0,false,consumer_packaging
1828,artificial ingredients,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1829,artificial ingredients,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1830,artificial ingredients,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1831,artificial ingredients,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1832,artificial ingredients,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1833,artificial ingredients,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1834,artificial ingredients,8.079873436983576e-10,Google Books Ngram Viewer,en,0,false,consumer_packaging
1835,artificial ingredients,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1836,artificial ingredients,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1837,artificial ingredients,7.704495930127564e-10,Google Books Ngram Viewer,en,0,false,consumer_packaging
1838,artificial ingredients,3.802433479194178e-9,Google Books Ngram Viewer,en,0,false,consumer_packaging
1839,artificial ingredients,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1840,artificial ingredients,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1841,artificial ingredients,6.639129246366338e-10,Google Books Ngram Viewer,en,0,false,consumer_packaging
1842,artificial ingredients,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1843,artificial ingredients,6.464187518595566e-10,Google Books Ngram Viewer,en,0,false,consumer_packaging
1844,artificial ingredients,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
1845,artificial ingredients,3.020780958706837e-9,Google Books Ngram Viewer,en,0,false,consumer_packaging
1846,artificial ingredients,5.072017250640215e-10,Google Books Ngram Viewer,en,0,false,consumer_packaging
1847,artificial ingredients,0,Google Books Ngram Viewer,en,0,false,consumer_packaging
