year,term,value,source,corpus,smoothing,case_sensitive,query_group
1800,artificial smile,0,Google Books Ngram Viewer,en,0,false,suspicion_negative
1801,artificial smile,0,Google Books Ngram Viewer,en,0,false,suspicion_negative
1802,artificial smile,0,Google Books Ngram Viewer,en,0,false,suspicion_negative
1803,artificial smile,0,Google Books Ngram Viewer,en,0,false,suspicion_negative
1804,artificial smile,0,Google Books Ngram Viewer,en,0,false,suspicion_negative
1805,artificial smile,0,Google Books Ngram Viewer,en,0,false,suspicion_negative
1806,artificial smile,2.111817831718099e-9,Google Books Ngram Viewer,en,0,false,suspicion_negative
1807,artificial smile,1.8720118788451146e-9,Google Books Ngram Viewer,en,0,false,suspicion_negative
1808,artificial smile,4.185975566173283e-9,Google Books Ngram Viewer,en,0,false,suspicion_negative
1809,artificial smile,3.829176975500559e-9,Google Books Ngram Viewer,en,0,false,suspicion_negative
1810,artificial smile,3.750890709142141e-9,Google Books Ngram Viewer,en,0,false,suspicion_negative
1811,artificial smile,0,Google Books Ngram Viewer,en,0,false,suspicion_negative
1812,artificial smile,2.8335755963837528e-9,Google Books Ngram Viewer,en,0,false,suspicion_negative
1813,artificial smile,0,Google Books Ngram Viewer,en,0,false,suspicion_negative
1814,artificial smile,0,Google Books Ngram Viewer,en,0,false,suspicion_negative
1815,artificial smile,0,Google Books Ngram Viewer,en,0,false,suspicion_negative
1816,artificial smile,1.3649525953951525e-9,Google Books Ngram Viewer,en,0,false,suspicion_negative
1817,artificial smile,0,Google Books Ngram Viewer,en,0,false,suspicion_negative
1818,artificial smile,3.043571172867132e-9,Google Books Ngram Viewer,en,0,false,suspicion_negative
1819,artificial smile,0,Google Books Ngram Viewer,en,0,false,suspicion_negative
1820,artificial smile,1.5082038951064192e-9,Google Books Ngram Viewer,en,0,false,suspicion_negative
1821,artificial smile,0,Google Books Ngram Viewer,en,0,false,suspicion_negative
1822,artificial smile,0,Google Books Ngram Viewer,en,0,false,suspicion_negative
1823,artificial smile,0,Google Books Ngram Viewer,en,0,false,suspicion_negative
1824,artificial smile,0,Google Books Ngram Viewer,en,0,false,suspicion_negative
1825,artificial smile,3.2818583406424295e-9,Google Books Ngram Viewer,en,0,false,suspicion_negative
1826,artificial smile,0,Google Books Ngram Viewer,en,0,false,suspicion_negative
1827,artificial smile,0,Google Books Ngram Viewer,en,0,false,suspicion_negative
1828,artificial smile,0,Google Books Ngram Viewer,en,0,false,suspicion_negative
1829,artificial smile,1.100133539821968e-9,Google Books Ngram Viewer,en,0,false,suspicion_negative
1830,artificial smile,1.812599181860719e-9,Google Books Ngram Viewer,en,0,false,suspicion_negative
1831,artificial smile,1.4764128586364222e-8,Google Books Ngram Viewer,en,0,false,suspicion_negative
1832,artificial smile,7.370761778702217e-9,Google Books Ngram Viewer,en,0,false,suspicion_negative
1833,artificial smile,1.7113205075247606e-8,Google Books Ngram Viewer,en,0,false,suspicion_negative
1834,artificial smile,8.079873436983576e-10,Google Books Ngram Viewer,en,0,false,suspicion_negative
1835,artificial smile,5.854112306025172e-9,Google Books Ngram Viewer,en,0,false,suspicion_negative
1836,artificial smile,4.3903356505836655e-9,Google Books Ngram Viewer,en,0,false,suspicion_negative
1837,artificial smile,5.393147262111597e-9,Google Books Ngram Viewer,en,0,false,suspicion_negative
1838,artificial smile,7.604867291455264e-10,Google Books Ngram Viewer,en,0,false,suspicion_negative
1839,artificial smile,2.8667137552673694e-9,Google Books Ngram Viewer,en,0,false,suspicion_negative
1840,artificial smile,5.7644862216932324e-9,Google Books Ngram Viewer,en,0,false,suspicion_negative
1841,artificial smile,3.319564623183169e-9,Google Books Ngram Viewer,en,0,false,suspicion_negative
1842,artificial smile,4.532886954677906e-9,Google Books Ngram Viewer,en,0,false,suspicion_negative
1843,artificial smile,7.757025244359284e-9,Google Books Ngram Viewer,en,0,false,suspicion_negative
1844,artificial smile,4.570303246964613e-9,Google Books Ngram Viewer,en,0,false,suspicion_negative
1845,artificial smile,5.034634931178061e-9,Google Books Ngram Viewer,en,0,false,suspicion_negative
1846,artificial smile,1.014403450128043e-9,Google Books Ngram Viewer,en,0,false,suspicion_negative
1847,artificial smile,0,Google Books Ngram Viewer,en,0,false,suspicion_negative
1848,artificial smile,1.3114403785152717e-8,Google Books Ngram Viewer,en,0,false,suspicion_negative
1849,artificial smile,6.858951184796069e-9,Google Books Ngram Viewer,en,0,false,suspicion_negative
1850,artificial smile,6.1792935213134115e-9,Google Books Ngram Viewer,en,0,false,suspicion_negative
1851,artificial smile,3.1508402553726e-9,Google Books Ngram Viewer,en,0,false,suspicion_negative
1852,artificial smile,1.440012820097536e-8,Google Books Ngram Viewer,en,0,false,suspicion_negative
1853,artificial smile,3.975734852446067e-9,Google Books Ngram Viewer,en,0,false,suspicion_negative
1854,artificial smile,3.602039555516967e-9,Google Books Ngram Viewer,en,0,false,suspicion_negative
1855,artificial smile,1.639737678971187e-9,Google Books Ngram Viewer,en,0,false,suspicion_negative
1856,artificial smile,1.2371519364506867e-9,Google Books Ngram Viewer,en,0,false,suspicion_negative
1857,artificial smile,2.119370456910019e-9,Google Books Ngram Viewer,en,0,false,suspicion_negative
1858,artificial smile,1.6960268744981022e-9,Google Books Ngram Viewer,en,0,false,suspicion_negative
1859,artificial smile,2.8329842916008374e-9,Google Books Ngram Viewer,en,0,false,suspicion_negative
1860,artificial smile,1.9207970769485883e-9,Google Books Ngram Viewer,en,0,false,suspicion_negative
1861,artificial smile,2.7045237160905344e-9,Google Books Ngram Viewer,en,0,false,suspicion_negative
1862,artificial smile,4.306465850589802e-9,Google Books Ngram Viewer,en,0,false,suspicion_negative
1863,artificial smile,3.769066392322884e-9,Google Books Ngram Viewer,en,0,false,suspicion_negative
1864,artificial smile,6.751801340243446e-9,Google Books Ngram Viewer,en,0,false,suspicion_negative
1865,artificial smile,7.2311285848059015e-9,Google Books Ngram Viewer,en,0,false,suspicion_negative
1866,artificial smile,5.61604673876559e-9,Google Books Ngram Viewer,en,0,false,suspicion_negative
1867,artificial smile,3.2304550146022848e-9,Google Books Ngram Viewer,en,0,false,suspicion_negative
1868,artificial smile,6.023439524938112e-9,Google Books Ngram Viewer,en,0,false,suspicion_negative
1869,artificial smile,3.179520202678532e-9,Google Books Ngram Viewer,en,0,false,suspicion_negative
1870,artificial smile,2.4539175136339964e-9,Google Books Ngram Viewer,en,0,false,suspicion_negative
1871,artificial smile,4.527742625271003e-9,Google Books Ngram Viewer,en,0,false,suspicion_negative
1872,artificial smile,4.126781139035529e-9,Google Books Ngram Viewer,en,0,false,suspicion_negative
1873,artificial smile,2.250272190806868e-9,Google Books Ngram Viewer,en,0,false,suspicion_negative
1874,artificial smile,9.147176349699748e-10,Google Books Ngram Viewer,en,0,false,suspicion_negative
1875,artificial smile,7.717707362075998e-9,Google Books Ngram Viewer,en,0,false,suspicion_negative
1876,artificial smile,5.706211059219868e-9,Google Books Ngram Viewer,en,0,false,suspicion_negative
1877,artificial smile,2.0719588267326117e-9,Google Books Ngram Viewer,en,0,false,suspicion_negative
1878,artificial smile,1.36549305196354e-9,Google Books Ngram Viewer,en,0,false,suspicion_negative
1879,artificial smile,3.2737339505928276e-9,Google Books Ngram Viewer,en,0,false,suspicion_negative
1880,artificial smile,3.503218604095082e-9,Google Books Ngram Viewer,en,0,false,suspicion_negative
1881,artificial smile,5.189429996832473e-10,Google Books Ngram Viewer,en,0,false,suspicion_negative
1882,artificial smile,2.387558151184521e-9,Google Books Ngram Viewer,en,0,false,suspicion_negative
1883,artificial smile,2.1422523754921485e-9,Google Books Ngram Viewer,en,0,false,suspicion_negative
1884,artificial smile,4.787812812878656e-9,Google Books Ngram Viewer,en,0,false,suspicion_negative
1885,artificial smile,6.482536729635058e-9,Google Books Ngram Viewer,en,0,false,suspicion_negative
1886,artificial smile,8.810683738147418e-9,Google Books Ngram Viewer,en,0,false,suspicion_negative
1887,artificial smile,4.494942640320687e-9,Google Books Ngram Viewer,en,0,false,suspicion_negative
1888,artificial smile,2.3820161398901973e-9,Google Books Ngram Viewer,en,0,false,suspicion_negative
1889,artificial smile,1.5203742709246626e-9,Google Books Ngram Viewer,en,0,false,suspicion_negative
1890,artificial smile,2.7155273585321993e-9,Google Books Ngram Viewer,en,0,false,suspicion_negative
1891,artificial smile,1.8880321750458506e-9,Google Books Ngram Viewer,en,0,false,suspicion_negative
1892,artificial smile,3.860664676835768e-9,Google Books Ngram Viewer,en,0,false,suspicion_negative
1893,artificial smile,6.069587943358101e-9,Google Books Ngram Viewer,en,0,false,suspicion_negative
1894,artificial smile,1.3934732256970506e-9,Google Books Ngram Viewer,en,0,false,suspicion_negative
1895,artificial smile,1.9182513355531228e-9,Google Books Ngram Viewer,en,0,false,suspicion_negative
1896,artificial smile,2.072614968540165e-9,Google Books Ngram Viewer,en,0,false,suspicion_negative
1897,artificial smile,3.08507264179525e-9,Google Books Ngram Viewer,en,0,false,suspicion_negative
1898,artificial smile,9.013245150235605e-10,Google Books Ngram Viewer,en,0,false,suspicion_negative
1899,artificial smile,2.401701726384431e-9,Google Books Ngram Viewer,en,0,false,suspicion_negative
1900,artificial smile,3.534741166433264e-9,Google Books Ngram Viewer,en,0,false,suspicion_negative
1901,artificial smile,3.118935332224737e-9,Google Books Ngram Viewer,en,0,false,suspicion_negative
1902,artificial smile,1.5611998360753887e-9,Google Books Ngram Viewer,en,0,false,suspicion_negative
1903,artificial smile,1.901652835201162e-9,Google Books Ngram Viewer,en,0,false,suspicion_negative
1904,artificial smile,1.0014922224854672e-9,Google Books Ngram Viewer,en,0,false,suspicion_negative
1905,artificial smile,2.42194841959531e-9,Google Books Ngram Viewer,en,0,false,suspicion_negative
1906,artificial smile,9.200107342621777e-10,Google Books Ngram Viewer,en,0,false,suspicion_negative
1907,artificial smile,8.274231300120505e-10,Google Books Ngram Viewer,en,0,false,suspicion_negative
1908,artificial smile,2.023496925573909e-9,Google Books Ngram Viewer,en,0,false,suspicion_negative
1909,artificial smile,6.673751551389273e-10,Google Books Ngram Viewer,en,0,false,suspicion_negative
1910,artificial smile,2.070784876906373e-9,Google Books Ngram Viewer,en,0,false,suspicion_negative
