year,term,value,source,corpus,smoothing,case_sensitive,primary_layer,layer_name,function_mode
1800,artificial aid,1.819278239167943e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1801,artificial aid,4.0787593746927087e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1802,artificial aid,3.9981031818570045e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1803,artificial aid,1.548110262206137e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1804,artificial aid,1.7523133166719163e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1805,artificial aid,4.12467571209163e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1806,artificial aid,3.3789085307489586e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1807,artificial aid,3.369621381921206e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1808,artificial aid,2.3022865391908454e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1809,artificial aid,9.572942438751397e-9,Google Books Ngram,en,0,false,1,external_artificial_things,support
1810,artificial aid,2.8756828029941062e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1811,artificial aid,1.2448639452600219e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1812,artificial aid,1.983502961877548e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1813,artificial aid,2.1496157742717514e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1814,artificial aid,2.8087468351145617e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1815,artificial aid,2.8962301001911328e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1816,artificial aid,2.4569146717112744e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1817,artificial aid,6.467794122499981e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1818,artificial aid,4.8697138765874115e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1819,artificial aid,5.0106020665907636e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1820,artificial aid,4.675431952705367e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1821,artificial aid,6.903334082153378e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1822,artificial aid,5.059761676307062e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1823,artificial aid,5.320947238374174e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1824,artificial aid,5.00944636883105e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1825,artificial aid,5.6885545829388207e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1826,artificial aid,6.801753471563643e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1827,artificial aid,2.8477863622811128e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1828,artificial aid,5.099239785977261e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1829,artificial aid,7.480907981971541e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1830,artificial aid,5.800317381954301e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1831,artificial aid,5.511941125746489e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1832,artificial aid,4.6067263226312605e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1833,artificial aid,4.1560639374438324e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1834,artificial aid,6.302300981086972e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1835,artificial aid,6.659053042312735e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1836,artificial aid,6.512331512942282e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1837,artificial aid,8.320855471311006e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1838,artificial aid,7.452769767990475e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1839,artificial aid,7.668459323095789e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1840,artificial aid,6.557102949500404e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1841,artificial aid,6.639129424002022e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1842,artificial aid,3.820576072177673e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1843,artificial aid,7.563099302387855e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1844,artificial aid,6.684068409867905e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1845,artificial aid,5.638791122919429e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1846,artificial aid,6.187861101292214e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1847,artificial aid,6.910742911259149e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1848,artificial aid,1.0327593258363521e-7,Google Books Ngram,en,0,false,1,external_artificial_things,support
1849,artificial aid,6.436862021175216e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1850,artificial aid,7.272553403936399e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1851,artificial aid,7.652040068251154e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1852,artificial aid,8.385956812295703e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1853,artificial aid,7.196079820914747e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1854,artificial aid,9.485371066375592e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1855,artificial aid,9.305511383672638e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1856,artificial aid,6.680620776022828e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1857,artificial aid,7.629733173031283e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1858,artificial aid,7.928925527256325e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1859,artificial aid,7.851413386106287e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1860,artificial aid,5.1093199004981216e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1861,artificial aid,8.20372177690043e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1862,artificial aid,5.885502929459108e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1863,artificial aid,5.229579697063613e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1864,artificial aid,5.401441052765854e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1865,artificial aid,6.210263001071858e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1866,artificial aid,8.274309237776833e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1867,artificial aid,5.814818992977422e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1868,artificial aid,5.7381186302496445e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1869,artificial aid,8.302080090061281e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1870,artificial aid,5.9507500704825134e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1871,artificial aid,6.443326344696132e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
1872,artificial aid,5.9362159576803464e-8,Google Books Ngram,en,0,false,1,external_artificial_things,support
