ngram	year	match_count	volume_count	ngram_order	corpus_release	source_shard	wide_field_index
forevermore	1630	1	1	1	googlebooks-eng-20200217	1-00018-of-00024.gz	1
forevermore	1634	2	2	1	googlebooks-eng-20200217	1-00018-of-00024.gz	2
forevermore	1639	1	1	1	googlebooks-eng-20200217	1-00018-of-00024.gz	3
forevermore	1640	1	1	1	googlebooks-eng-20200217	1-00018-of-00024.gz	4
forevermore	1649	1	1	1	googlebooks-eng-20200217	1-00018-of-00024.gz	5
forevermore	1651	1	1	1	googlebooks-eng-20200217	1-00018-of-00024.gz	6
forevermore	1655	1	1	1	googlebooks-eng-20200217	1-00018-of-00024.gz	7
forevermore	1659	1	1	1	googlebooks-eng-20200217	1-00018-of-00024.gz	8
forevermore	1661	2	2	1	googlebooks-eng-20200217	1-00018-of-00024.gz	9
forevermore	1662	1	1	1	googlebooks-eng-20200217	1-00018-of-00024.gz	10
forevermore	1663	1	1	1	googlebooks-eng-20200217	1-00018-of-00024.gz	11
forevermore	1664	1	1	1	googlebooks-eng-20200217	1-00018-of-00024.gz	12
forevermore	1670	1	1	1	googlebooks-eng-20200217	1-00018-of-00024.gz	13
forevermore	1673	1	1	1	googlebooks-eng-20200217	1-00018-of-00024.gz	14
forevermore	1676	17	3	1	googlebooks-eng-20200217	1-00018-of-00024.gz	15
forevermore	1677	2	2	1	googlebooks-eng-20200217	1-00018-of-00024.gz	16
forevermore	1680	1	1	1	googlebooks-eng-20200217	1-00018-of-00024.gz	17
forevermore	1684	1	1	1	googlebooks-eng-20200217	1-00018-of-00024.gz	18
forevermore	1685	2	1	1	googlebooks-eng-20200217	1-00018-of-00024.gz	19
forevermore	1686	1	1	1	googlebooks-eng-20200217	1-00018-of-00024.gz	20
forevermore	1688	1	1	1	googlebooks-eng-20200217	1-00018-of-00024.gz	21
forevermore	1689	2	2	1	googlebooks-eng-20200217	1-00018-of-00024.gz	22
forevermore	1692	1	1	1	googlebooks-eng-20200217	1-00018-of-00024.gz	23
forevermore	1693	1	1	1	googlebooks-eng-20200217	1-00018-of-00024.gz	24
forevermore	1698	1	1	1	googlebooks-eng-20200217	1-00018-of-00024.gz	25
forevermore	1699	1	1	1	googlebooks-eng-20200217	1-00018-of-00024.gz	26
forevermore	1700	3	2	1	googlebooks-eng-20200217	1-00018-of-00024.gz	27
forevermore	1702	1	1	1	googlebooks-eng-20200217	1-00018-of-00024.gz	28
forevermore	1703	2	2	1	googlebooks-eng-20200217	1-00018-of-00024.gz	29
forevermore	1705	1	1	1	googlebooks-eng-20200217	1-00018-of-00024.gz	30
forevermore	1706	1	1	1	googlebooks-eng-20200217	1-00018-of-00024.gz	31
forevermore	1708	4	2	1	googlebooks-eng-20200217	1-00018-of-00024.gz	32
forevermore	1711	1	1	1	googlebooks-eng-20200217	1-00018-of-00024.gz	33
forevermore	1714	6	2	1	googlebooks-eng-20200217	1-00018-of-00024.gz	34
forevermore	1717	2	2	1	googlebooks-eng-20200217	1-00018-of-00024.gz	35
forevermore	1719	1	1	1	googlebooks-eng-20200217	1-00018-of-00024.gz	36
forevermore	1720	1	1	1	googlebooks-eng-20200217	1-00018-of-00024.gz	37
forevermore	1724	1	1	1	googlebooks-eng-20200217	1-00018-of-00024.gz	38
forevermore	1729	1	1	1	googlebooks-eng-20200217	1-00018-of-00024.gz	39
forevermore	1730	1	1	1	googlebooks-eng-20200217	1-00018-of-00024.gz	40
forevermore	1732	2	2	1	googlebooks-eng-20200217	1-00018-of-00024.gz	41
forevermore	1741	1	1	1	googlebooks-eng-20200217	1-00018-of-00024.gz	42
forevermore	1742	2	2	1	googlebooks-eng-20200217	1-00018-of-00024.gz	43
forevermore	1746	2	2	1	googlebooks-eng-20200217	1-00018-of-00024.gz	44
forevermore	1749	2	2	1	googlebooks-eng-20200217	1-00018-of-00024.gz	45
forevermore	1754	1	1	1	googlebooks-eng-20200217	1-00018-of-00024.gz	46
forevermore	1755	3	3	1	googlebooks-eng-20200217	1-00018-of-00024.gz	47
forevermore	1756	1	1	1	googlebooks-eng-20200217	1-00018-of-00024.gz	48
forevermore	1758	1	1	1	googlebooks-eng-20200217	1-00018-of-00024.gz	49
forevermore	1763	1	1	1	googlebooks-eng-20200217	1-00018-of-00024.gz	50
forevermore	1764	1	1	1	googlebooks-eng-20200217	1-00018-of-00024.gz	51
forevermore	1765	3	3	1	googlebooks-eng-20200217	1-00018-of-00024.gz	52
forevermore	1766	6	3	1	googlebooks-eng-20200217	1-00018-of-00024.gz	53
forevermore	1767	3	2	1	googlebooks-eng-20200217	1-00018-of-00024.gz	54
forevermore	1768	1	1	1	googlebooks-eng-20200217	1-00018-of-00024.gz	55
forevermore	1769	4	2	1	googlebooks-eng-20200217	1-00018-of-00024.gz	56
forevermore	1770	1	1	1	googlebooks-eng-20200217	1-00018-of-00024.gz	57
forevermore	1773	2	2	1	googlebooks-eng-20200217	1-00018-of-00024.gz	58
forevermore	1774	4	4	1	googlebooks-eng-20200217	1-00018-of-00024.gz	59
forevermore	1775	1	1	1	googlebooks-eng-20200217	1-00018-of-00024.gz	60
forevermore	1776	6	3	1	googlebooks-eng-20200217	1-00018-of-00024.gz	61
forevermore	1777	3	2	1	googlebooks-eng-20200217	1-00018-of-00024.gz	62
forevermore	1778	1	1	1	googlebooks-eng-20200217	1-00018-of-00024.gz	63
forevermore	1779	1	1	1	googlebooks-eng-20200217	1-00018-of-00024.gz	64
forevermore	1780	3	3	1	googlebooks-eng-20200217	1-00018-of-00024.gz	65
forevermore	1784	1	1	1	googlebooks-eng-20200217	1-00018-of-00024.gz	66
forevermore	1785	3	3	1	googlebooks-eng-20200217	1-00018-of-00024.gz	67
forevermore	1786	3	3	1	googlebooks-eng-20200217	1-00018-of-00024.gz	68
forevermore	1787	1	1	1	googlebooks-eng-20200217	1-00018-of-00024.gz	69
forevermore	1788	2	2	1	googlebooks-eng-20200217	1-00018-of-00024.gz	70
forevermore	1789	2	2	1	googlebooks-eng-20200217	1-00018-of-00024.gz	71
forevermore	1790	1	1	1	googlebooks-eng-20200217	1-00018-of-00024.gz	72
forevermore	1791	1	1	1	googlebooks-eng-20200217	1-00018-of-00024.gz	73
forevermore	1792	1	1	1	googlebooks-eng-20200217	1-00018-of-00024.gz	74
forevermore	1793	7	1	1	googlebooks-eng-20200217	1-00018-of-00024.gz	75
forevermore	1794	9	8	1	googlebooks-eng-20200217	1-00018-of-00024.gz	76
forevermore	1795	3	3	1	googlebooks-eng-20200217	1-00018-of-00024.gz	77
forevermore	1796	2	2	1	googlebooks-eng-20200217	1-00018-of-00024.gz	78
forevermore	1797	1	1	1	googlebooks-eng-20200217	1-00018-of-00024.gz	79
forevermore	1798	10	4	1	googlebooks-eng-20200217	1-00018-of-00024.gz	80
forevermore	1799	8	5	1	googlebooks-eng-20200217	1-00018-of-00024.gz	81
forevermore	1800	25	19	1	googlebooks-eng-20200217	1-00018-of-00024.gz	82
forevermore	1801	10	10	1	googlebooks-eng-20200217	1-00018-of-00024.gz	83
forevermore	1802	3	3	1	googlebooks-eng-20200217	1-00018-of-00024.gz	84
forevermore	1803	17	15	1	googlebooks-eng-20200217	1-00018-of-00024.gz	85
forevermore	1804	29	18	1	googlebooks-eng-20200217	1-00018-of-00024.gz	86
forevermore	1805	14	12	1	googlebooks-eng-20200217	1-00018-of-00024.gz	87
forevermore	1806	11	8	1	googlebooks-eng-20200217	1-00018-of-00024.gz	88
forevermore	1807	31	21	1	googlebooks-eng-20200217	1-00018-of-00024.gz	89
forevermore	1808	43	30	1	googlebooks-eng-20200217	1-00018-of-00024.gz	90
forevermore	1809	48	24	1	googlebooks-eng-20200217	1-00018-of-00024.gz	91
forevermore	1810	39	28	1	googlebooks-eng-20200217	1-00018-of-00024.gz	92
forevermore	1811	35	29	1	googlebooks-eng-20200217	1-00018-of-00024.gz	93
forevermore	1812	51	30	1	googlebooks-eng-20200217	1-00018-of-00024.gz	94
forevermore	1813	35	23	1	googlebooks-eng-20200217	1-00018-of-00024.gz	95
forevermore	1814	34	20	1	googlebooks-eng-20200217	1-00018-of-00024.gz	96
forevermore	1815	38	34	1	googlebooks-eng-20200217	1-00018-of-00024.gz	97
forevermore	1816	14	13	1	googlebooks-eng-20200217	1-00018-of-00024.gz	98
forevermore	1817	29	28	1	googlebooks-eng-20200217	1-00018-of-00024.gz	99
forevermore	1818	34	29	1	googlebooks-eng-20200217	1-00018-of-00024.gz	100
forevermore	1819	31	24	1	googlebooks-eng-20200217	1-00018-of-00024.gz	101
forevermore	1820	48	37	1	googlebooks-eng-20200217	1-00018-of-00024.gz	102
forevermore	1821	62	40	1	googlebooks-eng-20200217	1-00018-of-00024.gz	103
forevermore	1822	58	48	1	googlebooks-eng-20200217	1-00018-of-00024.gz	104
forevermore	1823	46	36	1	googlebooks-eng-20200217	1-00018-of-00024.gz	105
forevermore	1824	106	56	1	googlebooks-eng-20200217	1-00018-of-00024.gz	106
forevermore	1825	42	37	1	googlebooks-eng-20200217	1-00018-of-00024.gz	107
forevermore	1826	56	47	1	googlebooks-eng-20200217	1-00018-of-00024.gz	108
forevermore	1827	58	37	1	googlebooks-eng-20200217	1-00018-of-00024.gz	109
forevermore	1828	67	51	1	googlebooks-eng-20200217	1-00018-of-00024.gz	110
forevermore	1829	133	73	1	googlebooks-eng-20200217	1-00018-of-00024.gz	111
forevermore	1830	136	82	1	googlebooks-eng-20200217	1-00018-of-00024.gz	112
forevermore	1831	172	93	1	googlebooks-eng-20200217	1-00018-of-00024.gz	113
forevermore	1832	112	89	1	googlebooks-eng-20200217	1-00018-of-00024.gz	114
forevermore	1833	142	94	1	googlebooks-eng-20200217	1-00018-of-00024.gz	115
forevermore	1834	149	107	1	googlebooks-eng-20200217	1-00018-of-00024.gz	116
forevermore	1835	143	83	1	googlebooks-eng-20200217	1-00018-of-00024.gz	117
forevermore	1836	115	87	1	googlebooks-eng-20200217	1-00018-of-00024.gz	118
forevermore	1837	162	107	1	googlebooks-eng-20200217	1-00018-of-00024.gz	119
forevermore	1838	171	109	1	googlebooks-eng-20200217	1-00018-of-00024.gz	120
forevermore	1839	187	118	1	googlebooks-eng-20200217	1-00018-of-00024.gz	121
forevermore	1840	147	86	1	googlebooks-eng-20200217	1-00018-of-00024.gz	122
forevermore	1841	204	147	1	googlebooks-eng-20200217	1-00018-of-00024.gz	123
forevermore	1842	224	173	1	googlebooks-eng-20200217	1-00018-of-00024.gz	124
forevermore	1843	244	151	1	googlebooks-eng-20200217	1-00018-of-00024.gz	125
forevermore	1844	265	171	1	googlebooks-eng-20200217	1-00018-of-00024.gz	126
forevermore	1845	303	193	1	googlebooks-eng-20200217	1-00018-of-00024.gz	127
forevermore	1846	410	223	1	googlebooks-eng-20200217	1-00018-of-00024.gz	128
forevermore	1847	305	178	1	googlebooks-eng-20200217	1-00018-of-00024.gz	129
forevermore	1848	322	193	1	googlebooks-eng-20200217	1-00018-of-00024.gz	130
forevermore	1849	346	197	1	googlebooks-eng-20200217	1-00018-of-00024.gz	131
forevermore	1850	580	233	1	googlebooks-eng-20200217	1-00018-of-00024.gz	132
forevermore	1851	443	253	1	googlebooks-eng-20200217	1-00018-of-00024.gz	133
forevermore	1852	405	293	1	googlebooks-eng-20200217	1-00018-of-00024.gz	134
forevermore	1853	431	270	1	googlebooks-eng-20200217	1-00018-of-00024.gz	135
forevermore	1854	532	319	1	googlebooks-eng-20200217	1-00018-of-00024.gz	136
forevermore	1855	550	333	1	googlebooks-eng-20200217	1-00018-of-00024.gz	137
forevermore	1856	558	350	1	googlebooks-eng-20200217	1-00018-of-00024.gz	138
forevermore	1857	510	356	1	googlebooks-eng-20200217	1-00018-of-00024.gz	139
forevermore	1858	657	346	1	googlebooks-eng-20200217	1-00018-of-00024.gz	140
forevermore	1859	676	386	1	googlebooks-eng-20200217	1-00018-of-00024.gz	141
forevermore	1860	626	396	1	googlebooks-eng-20200217	1-00018-of-00024.gz	142
forevermore	1861	449	295	1	googlebooks-eng-20200217	1-00018-of-00024.gz	143
forevermore	1862	468	219	1	googlebooks-eng-20200217	1-00018-of-00024.gz	144
forevermore	1863	453	256	1	googlebooks-eng-20200217	1-00018-of-00024.gz	145
forevermore	1864	622	369	1	googlebooks-eng-20200217	1-00018-of-00024.gz	146
forevermore	1865	719	385	1	googlebooks-eng-20200217	1-00018-of-00024.gz	147
forevermore	1866	907	506	1	googlebooks-eng-20200217	1-00018-of-00024.gz	148
forevermore	1867	786	473	1	googlebooks-eng-20200217	1-00018-of-00024.gz	149
forevermore	1868	768	443	1	googlebooks-eng-20200217	1-00018-of-00024.gz	150
forevermore	1869	768	443	1	googlebooks-eng-20200217	1-00018-of-00024.gz	151
forevermore	1870	1004	493	1	googlebooks-eng-20200217	1-00018-of-00024.gz	152
forevermore	1871	964	492	1	googlebooks-eng-20200217	1-00018-of-00024.gz	153
forevermore	1872	1123	530	1	googlebooks-eng-20200217	1-00018-of-00024.gz	154
forevermore	1873	869	483	1	googlebooks-eng-20200217	1-00018-of-00024.gz	155
forevermore	1874	774	455	1	googlebooks-eng-20200217	1-00018-of-00024.gz	156
